"Timestamp","Which Evening & Weekend MBA (EWMBA) cohort are you in?","Which class are you in?","How do you commute to and from your in-person classes? If you identify with multiple options, please pick the one you use most often.","If you selected one of the driving options, what is preventing you from utilizing other options such as the shuttle/BayPass, etc? (Select all that apply)","A parking pass is crucial to my school experience.","How frequently have parking or transit delays directly disrupted your academic schedule (e.g. arriving late to class, missing a lecture, or missing scheduled group meetings)?","With this new parking permit change, I need to reevaluate how I commute to school for classes and in-person campus events.","Having to pay for parking (think about paying for parking) will prevent me from attending more on-campus events / maximizing my MBA.","Having to pay for parking in addition to rising tuition costs causes me unnecessary extra stress / negatively impacts my student experience.","If a prospective applicant with a similar professional and geographical profile asked for your honest advice about joining Haas, how would you suggest they view the new parking and commuting situation?","The mandatory campus transit fee for BayPass is automatically charged to all students. If given the option, would you choose to opt-out of this fee to reduce your semester tuition/fees?","Anything else you'd like to share? We'll synthesize feedback and share it with the Program Office."
"2026/07/13 3:49:28 PM MDT","Evening Blue (Monday/Wednesday)","2027","I drive myself to school","The shuttle leaves at an inconvenient time;The shuttle leaves at an inconvenient location;BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I drive to work, and go directly to school after, and therefore must drive;Driving saves me time and energy","5","Frequently (6+ times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","Yes",""
"2026/07/13 3:49:58 PM MDT","Weekend Axe/Oski (Saturday)","2027","I drive myself to school","BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;Driving saves me time and energy","5","Rarely (1-2 times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","Yes",""
"2026/07/13 3:51:18 PM MDT","Evening Gold (Tuesday/Thursday)","2028","I drive myself to school","There's no convenient way for me to take the shuttle/public transporation;I don't feel safe taking public transportation at the times I would need to","5","Occasionally (3-5 times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","Yes",""
"2026/07/13 3:52:00 PM MDT","Evening Blue (Monday/Wednesday)","2028","I drive myself to school","The shuttle leaves at an inconvenient location;There's no convenient way for me to take the shuttle/public transporation;I drive to work, and go directly to school after, and therefore must drive;Driving saves me time and energy","5","Occasionally (3-5 times per semester)","5","5","5","It is a minor factor (manageable annoyance, but should not affect enrollment)","No","When enrolling in the program, the parking was an expected benefit. Taking it away mid program feels deceptive and unfair. "
"2026/07/13 3:52:44 PM MDT","Evening Blue (Monday/Wednesday)","2028","I drive myself to school","The shuttle leaves at an inconvenient time;BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I don't feel safe taking public transportation at the times I would need to;Driving saves me time and energy","5","Frequently (6+ times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","Yes",""
"2026/07/13 3:52:53 PM MDT","Evening Gold (Tuesday/Thursday)","2028","I drive myself to school","The shuttle leaves at an inconvenient location;BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I drive to work, and go directly to school after, and therefore must drive","5","Rarely (1-2 times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","Yes",""
"2026/07/13 3:53:27 PM MDT","Weekend Axe/Oski (Saturday)","2028","I drive myself to school","The shuttle leaves at an inconvenient time;The shuttle leaves at an inconvenient location;BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I don't feel safe taking public transportation at the times I would need to;I drive to work, and go directly to school after, and therefore must drive","5","Occasionally (3-5 times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","Yes",""
"2026/07/13 3:53:51 PM MDT","Weekend Axe/Oski (Saturday)","2028","I drive myself to school","There's no convenient way for me to take the shuttle/public transporation","5","Frequently (6+ times per semester)","5","5","5","It is a minor factor (manageable annoyance, but should not affect enrollment)","Yes",""
"2026/07/13 3:54:00 PM MDT","Evening Gold (Tuesday/Thursday)","2028","I drive myself to school","There's no convenient way for me to take the shuttle/public transporation;I don't feel safe taking public transportation at the times I would need to;I drive to work, and go directly to school after, and therefore must drive","5","Frequently (6+ times per semester)","5","5","5","It is a critical factor (should actively discourage enrolling unless they live near campus)","Yes",""
"2026/07/13 3:54:24 PM MDT","Weekend Axe/Oski (Saturday)","2028","I drive myself to school","Driving saves me time and energy","5","Occasionally (3-5 times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","No","what is the baypass transit fee we are paying for the year? it obviously depends how much it is compared to how much we use it? "
"2026/07/13 3:54:43 PM MDT","Evening Gold (Tuesday/Thursday)","2028","I drive myself to school","There's no convenient way for me to take the shuttle/public transporation;I don't feel safe taking public transportation at the times I would need to;Driving saves me time and energy","5","Occasionally (3-5 times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","No",""
"2026/07/13 3:54:54 PM MDT","Weekend Axe/Oski (Saturday)","2028","I drive myself to school","There's no convenient way for me to take the shuttle/public transporation;Driving saves me time and energy","5","Rarely (1-2 times per semester)","5","4","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","Yes","Why is weekend parking impacted?"
"2026/07/13 3:55:31 PM MDT","Evening Gold (Tuesday/Thursday)","2028","I drive myself to school","BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I drive to work, and go directly to school after, and therefore must drive","3","Occasionally (3-5 times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","Yes",""
"2026/07/13 3:55:57 PM MDT","Weekend Axe/Oski (Saturday)","2028","I drive myself to school","BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I don't feel safe taking public transportation at the times I would need to;I drive to work, and go directly to school after, and therefore must drive","5","Frequently (6+ times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","Yes","Please give sincere consideration to the transportation needs of Evening & Weekend students, many of whom rely on parking to access the Berkeley campus. Unlike most full-time or undergraduate students, the vast majority of EW students commute 30 minutes or more after a full workday. In addition to the significant time commitment, many already incur substantial commuting costs, including gas and Bay Bridge tolls.

The removal of complimentary parking creates an additional financial burden for a population that is balancing demanding careers, academics, and personal responsibilities. Maintaining affordable parking options would meaningfully improve accessibility and help ensure that Evening & Weekend students can continue to fully participate in the Berkeley community."
"2026/07/13 3:57:27 PM MDT","Evening Gold (Tuesday/Thursday)","2028","I drive myself to school","The shuttle leaves at an inconvenient location;BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I don't feel safe taking public transportation at the times I would need to;I drive to work, and go directly to school after, and therefore must drive;Driving saves me time and energy","5","Never","4","4","5","It is a minor factor (manageable annoyance, but should not affect enrollment)","Yes","This policy shift will be more likely to impact women and other groups that feel less comfortable riding BART late at night after class ends (10pm). EWMBA students should be exempt from the parking fee due to the nature of their degree requiring late nights. Also, I live in the East Bay where shuttles don't go."
